latitude,longitude,city
14.2,-87.5166667,los frailes
13.1927778,-87.0011111,la joya
36.008395,51.48865,shemshak-e pa'in
20.75,-102.433333,tuna
48.983333,46.983333,zhuzyuyskiy
37.7189,47.2675,tanderlu
17.001389,-96.625,rojas de cuauhtemoc
27.4333333,83.75,pasauli
37.2071,128.8981,tumundong
22.1,99.2833333,pangkiu-lam
-7.029444,107.507778,sadu
-7.69,110.531111,potro kidul
27.466667,-108.633333,las paredes
28.8891,58.7532,baqeriyeh
-17.1844444,34.3927778,catulene
-18.7744444,33.3663889,bernardino
-7.95,138.633333,tahalan
20.666667,-104.75,joya segunda
68.75,15.35,sandstrand
-14.9833333,-69.7666667,ccancco hacienda
2.216667,111.616667,rumah bensen
-2.6,116.4,samalantakan
19.483333,-99.1,constitucion de la republica
12.6,-85.7666667,san jose de los remates
38.8499,45.2586,marakan
1.55,109.766667,kampong kandai
21.1666667,97.6,ongmu
-6.9345,112.3361,tenggulun
43.6011111,16.835,zaper
37.6025,126.815556,sowonchon
42.001944,19.175556,karastani
5.307585,7.668512,nkor
8.9,11.9,sobi
-8.2593,112.1456,seweden satu
30.061,55.2852,deh-e `ali naqi
38.246944,127.424444,haksaunni
13.1333333,103.2166667,phumi sala ta ong
12.1166667,-15.8333333,dutequete
19.85,93.6,wabawgyi
-6.954444,107.113611,cisalandra
51.7436111,-9.3058333,coomleagh
23.4,87.966667,barabeluna
18.058333,-94.791667,rancho nuevo
-7.902778,110.103611,dabag satu
19.066667,79.066667,chintaguda
8.2466667,-78.1566667,corles
37.1877778,43.9044444,sinji
54.1922222,-7.8580556,bursan
37.789722,126.353333,inkaho
4.1409,98.1217,tungkamkaram
-25.6,32.3333333,machezane
31.95,49.583333,mirza
10.75,4.683333,bunsuru
7.95,-80.3666667,la tembladera abajo
-17.1033333,37.8441667,merenha
14.9,-89.733333,los frutillos
-10.5833333,150.8833333,goteia
14.683333,-92.3,puente quemado
-6.876944,108.4825,sawahrangru
14.7,-86.3,el coyutepe
-7.2116,113.4223,semaleng
33.653,51.6364,vesh
32.0464,51.4693,qamishlu
-16,-69.55,ayripute
16.7666667,95.9333333,thawundaw
-6.058333,106.512222,maoek
35.416813,58.960268,razg
10.7666667,104.5833333,phumi trapeang run
-6.716667,107.994722,lentjang
16.216667,105.833333,ban xepong
-6.865833,107.487778,cibacang tengah
11.083333,78.016667,pugalur
-10.915,-76.8247222,capash
24.1384,79.191,majhguwanghati
16.616667,106.516667,ban a. leua
30.9474,50.4946,torab-e vosta
-42.766667,173.233333,phoebe
40.1091667,125.8844444,karaenamuwon
13.8333333,-87.6833333,pithayas
12.5333333,105.1,phumi trapeang khnak (2)
17.266667,-100.35,camaron
38.1788889,126.7019444,tunchang
-6.462778,106.8775,kranggankolot satu
41.6075,22.2327778,sogrlo
18.55,-73.8333333,maroulette
32.235984,49.655386,latia
42.816667,12.483333,ficareto
-8.2546,112.5694,goenoenggebang
12.372407,3.813596,garin kada
30.569354,51.23235,chahgah
52.065822,6.186905,steenderen
55.7833333,23.2833333,shukya
-1.663214,124.728735,nabi
26.5845,79.8836,purwa malah
20.7,-99.758333,villa guerrero
55.3161111,21.6311111,piktaychyay
21.3,94.6833333,migyaungdwin
-8.5389,115.4228,banjar sulang kangin
32.6430556,13.9533333,qabilat salimah
38.7931,47.4858,delqanab
39.5125,125.4311111,sohungni
42.3,78.0666667,chong-kyzylsu
2.9289,98.623,bandar raya
17.283333,105.95,ban chalou
56.4,26.5166667,eleonorvile
